"","combid","Def_12_x","Def_13_x","Def_14_x","Def_15_x","Def_16_x","Def_17_x","Def_18_x","Def_19_x","Def_20_x","Def_21_x","Def_22_x","Def_12_y","Def_13_y","Def_14_y","Def_15_y","Def_16_y","Def_17_y","Def_18_y","Def_19_y","Def_20_y","Def_21_y","Def_22_y"
"51","2017101506_4276",57.92,56.53,56.29,69.16,54.64,60.94,62.36,57.62,55.05,56.13,55.82,9.3,14.25,49.65,37.67,18.83,41.23,25.26,22.33,40.72,36.62,31.87
"52","2017101505_4063",34.26,9.99,20.22,45.91,42.11,39.78,46.5,20.41,41.88,43.25,39.27,36.38,33.19,36.21,36.93,38.88,34.9,37.98,34.19,24.79,32.24,29.95
"53","2017101505_386",2.16,17.39,35.32,33.49,38.17,34.7,32.81,18.31,34.72,34.68,35.8,38.81,38.8,29.84,41.29,20.68,24.16,37.49,35.94,33.13,27.02,36.18
"54","2017101505_36",85.98,79.15,84.1,100.12,87.92,87,83.59,99.75,89.42,88.99,110.26,24.54,15.12,14.57,14.27,21.59,19.92,31.08,20.03,26.32,19.37,12.84
"55","2017101505_3439",86.24,85.36,104.52,84.6,83.89,83.85,97.91,97.93,83.7,99.27,114.6,38.02,30.61,33.96,35.81,31.09,44.13,33.43,34.06,20.4,31.6,43.37
"56","2017101505_2728",32.33,38.33,34.68,16.85,33.62,33.63,34.4,19.9,19.53,30.35,6.13,15.27,34.51,30.42,25.63,21.16,29.28,10.7,22.35,21.41,27.99,15.41
"57","2017101505_1540",33.71,36.76,36.1,21.75,32.55,34.43,42.95,24.48,28.58,35.01,14.13,30.71,44.95,40.51,39.42,33.6,37.63,22.71,39.13,31.97,42.51,37.88
"58","2017101505_1061",116.26,102.79,76.76,85.44,84.81,80.93,87.49,102.62,83.46,77.1,84.21,37.33,38.33,34.7,21.44,43.08,38.66,25.53,34.9,31.25,35.72,27.25
"59","2017101504_986",80.55,77.88,96.66,94.53,81.38,103.56,81.3,80.67,77.35,94.94,116.05,39.58,28.1,28.7,32.54,42.53,41.34,36.36,34.55,30.67,31.71,38.07
"60","2017101504_657",77.39,74.21,95.39,88.06,76.37,98.49,79.42,78.96,75.58,90.57,105.24,40.74,23.4,28.41,40.15,45.5,43.66,37.13,34.42,28.31,35.71,41.69
"61","2017101504_525",20.7,35.89,34.74,39.34,41.2,20.14,37.98,5.54,36.04,35.94,12,15.67,21.01,24.2,18.09,19.69,18.05,11.99,16.16,15.42,30.78,19.28
"62","2017101504_4669",71.15,68.76,87.03,79.68,66.09,88.99,68.68,66.35,66.77,79.9,102.94,26.81,13.99,32.83,29.64,30.94,23.61,26.73,21.82,18.12,28.3,28.3
"63","2017101504_45",20.12,36.04,36.62,38.23,39.89,20.45,37.51,6.67,35.72,36.63,10.22,17.3,20.4,25.39,18.52,20.76,18.46,11.56,18.4,16.77,29.56,20.77
"64","2017101504_4086",58.32,24.26,53.13,60.28,50.86,54.51,52.74,53.54,48.81,54.04,52.95,22.43,34.56,32.12,20.65,28.81,30.51,38.1,21.16,39.57,27.21,35.92
"65","2017101504_3645",75.96,99.99,74.48,74.14,77.18,78.71,76.66,77.55,80.56,76.64,78.18,31.33,18.72,23.69,32.02,25.35,22.07,12.3,34.63,13.88,27.39,19.21
"66","2017101504_3224",76.63,62.79,54.05,57.4,52.64,67.68,104.16,58.47,60.13,58.47,54.06,28.55,30.97,14.04,21.22,13.75,9.21,18.65,34.17,7.59,22.29,9.42
"67","2017101504_297",79.23,74.1,98.61,95.79,79.97,104.19,80.56,80.48,76.17,95.13,113.15,41.58,23.91,27.66,39.66,45.19,42.09,37.65,33.33,27.6,35.05,41.51
"68","2017101504_2960",36.42,39.63,25.22,24.78,38.8,16.31,35.74,37.73,38.07,24.99,2.73,27.66,38.33,25.7,28.92,22.84,35.25,29.77,30.39,33.49,29.99,37.44
"69","2017101504_2436",39.5,44.15,24.73,25.74,38.7,14.79,38.14,39.41,43.25,25.4,2.26,16.1,29.92,26.45,21.63,10.78,15.11,18.65,21.19,25.55,22.47,21.04
"70","2017101504_1997",36.88,43.58,24.38,27.98,41.48,18.23,38.06,39.7,43.76,29.25,10.94,10.69,28.29,20.8,8.53,3.77,2.17,14.46,17.67,22.3,13.1,1.9
"71","2017101504_1583",99.72,80.28,83.27,85.05,78.72,99.42,82.92,112.77,82.91,82.59,107.45,33.13,29.46,28.03,32.64,31.51,32.38,41.54,33.84,37.02,22.03,31.72
"72","2017101504_1302",35.98,45.65,25.98,25.81,36.68,15.82,36.28,38.46,43.34,25.45,4.8,17.04,27.17,25.15,20.65,11.63,14.83,17.61,20.02,25.45,21.91,16.19
"73","2017101503_37",90.45,114.77,79.71,101.55,80.63,97.97,82,79.61,80.43,79.68,104.87,16.94,20.78,28.31,22.91,24.07,25.81,11.34,38.85,16.67,26.01,23.84
"74","2017101503_3490",31.76,38.66,36.86,22.73,24.09,7.14,39.56,38.67,39.04,38.64,18.37,30.92,31.4,18.86,26.74,25.87,22.9,36.71,16.29,34.12,26.79,25.33
"75","2017101503_3257",28.82,37.83,37.78,20.18,23.84,5.06,37.25,40.27,36.49,39.92,14.96,30.91,29.89,19.31,25.14,24.76,24.84,38.39,15.41,33.55,26.94,24.64
"76","2017101503_2788",92.24,75.47,74.64,96.96,95.48,111.1,75.38,72.05,76.76,75.14,103.25,17.34,20.47,30.59,25.15,29.22,26.1,12.55,37.46,15.93,26.16,24.8
"77","2017101503_2480",9.27,31.46,26.51,35.66,27.79,28.07,25.76,26.18,1.33,35.22,31.56,37.62,26.55,37.78,41.41,33.39,41.25,39.39,42.89,39.81,31.46,32.6
"78","2017101503_2091",108.14,78.01,94.52,77.44,76.21,94.99,94.81,95.97,114.09,79.42,79.07,31.41,32.45,26.4,11.4,19.61,19.54,24.39,18.5,26.35,30.49,24.92
"79","2017101503_1610",30.12,40.85,40.43,22.54,24.37,7.71,39.93,38.83,40.07,17.59,41.21,18.49,22.7,18.68,21.07,24.64,13.3,36.41,29.94,20.58,22.54,11.52
"80","2017101503_1266",106.98,83.34,94.97,84.22,83.59,94.43,94.43,97.11,112.87,84.69,85.12,31.23,33.38,28.87,13.53,19.02,24.98,25.67,26.83,31.6,30.59,28.43
"81","2017101503_1023",27.7,14.95,35.94,20.61,37.19,21.19,37.04,37.03,36.19,36.24,18.25,26.11,13.55,16.62,18.92,25.29,15.28,29.94,13.75,27.21,23.08,19.86
"82","2017101502_896",18.21,38.26,35.1,34.69,18.51,38.76,35.68,38.22,5.52,36.13,37.6,26.34,22.56,12.35,17.46,20.94,23.71,19.74,34.1,19.73,29.82,17.11
"83","2017101502_719",74.79,94.62,94.79,78.19,83.71,82.48,89.28,84.21,80.51,83.2,115.65,30.05,23.05,24.36,15.8,22.66,29.43,28.57,19.69,18.74,31.3,31.62
"84","2017101502_4156",55.96,59.53,56.41,58.96,57.9,52.63,60.02,64.15,54.29,58.54,85.44,29.22,10.23,9.02,4.04,20.09,7.5,7.39,30.57,7.41,6.17,23.51
"85","2017101502_2951",100.82,82.58,83.07,101.03,82.08,86.54,81.25,116.66,80.1,82.93,86.49,28.74,27.98,37.06,33.08,39.27,31.1,35.34,31.4,20.77,26.3,34.16
"86","2017101502_267",20.38,37.63,35.87,18.79,40.1,33.22,35.93,2.53,37.12,35.72,33.17,36.82,33.76,27.68,32.65,21.78,33.39,31.16,37.58,41.82,36.47,30.46
"87","2017101502_2581",52.59,45.65,44.61,47.97,49.77,52.49,47.29,45.26,50.61,57.15,25.57,18.81,25.84,29.79,35.99,27.82,35.24,25.08,27.78,33.45,22.08,24.02
"88","2017101502_2273",103.42,79.87,85.24,102.57,83.55,80.37,81.92,118.6,83.62,83.49,82.24,28.41,27.14,35.26,33.96,38.39,25.35,30.37,34.69,17.96,22.59,32.31
"89","2017101501_4369",23.85,41.4,38.32,40.1,37.42,39.65,41.17,14.05,21.73,35.29,8.02,20.48,12.93,16.33,25.38,16.11,28.31,22.11,18.4,12.74,19.97,9.29
"90","2017101501_4154",21.13,35.8,37.68,37.17,35.91,36.84,39.31,9.68,19.03,34.86,1.29,22.66,15.28,20.14,26.76,19.19,30.26,24.66,28.78,21.44,22.98,19.07
"91","2017101501_3984",39.7,53.97,43.59,35.95,54.59,40.72,40.91,49.85,37.98,45.82,20.02,26.71,21.11,38.89,39.42,25.26,38.93,42.72,34.91,39.62,42.96,39.55
"92","2017101501_37",40.5,39.5,36.75,13.3,20.64,20.37,39.36,22.86,42.58,38.09,22.15,23.91,30.88,13.95,21,21.37,26.03,20.83,23.66,22,35.43,22.08
"93","2017101501_3686",76.36,77.99,84.51,111.28,99.71,99.43,79.99,97.21,76.78,83.16,97.41,19.75,22.48,33.86,18.27,17.3,23.65,29.3,22.48,18.38,11.9,21.33
"94","2017101501_3317",26.08,38.59,36.2,36.81,36.27,36.81,37.53,16.42,28.11,35.01,13,41.36,27.87,38.5,37.29,32.38,38.82,31.87,40.99,37.89,36.21,41.17
"95","2017101501_2670",92.09,82.33,104.51,83.31,82.1,81.71,84.32,81.75,98.94,91.92,79.5,34.72,43.11,36.78,32,27.04,40.41,23.11,39.05,33.15,37.77,30.45
"96","2017101501_2631",37.27,40.08,34.59,13.94,22.89,21.74,38.29,24.24,39.34,37.73,24.12,27.13,31.28,10.62,15.97,16.22,21.17,20.12,19.39,20.8,33.57,18.46
"97","2017101501_2148",93.89,106.97,83.69,82.02,81.4,83.59,80.26,101.91,95.2,78.36,81.67,35.04,41.08,29.06,25.96,41.68,22.94,39.15,35.97,38.25,27.62,43.14
"98","2017101501_2095",25.08,36.44,6.01,31.39,37.78,34.13,34.68,35.41,18.57,23.29,31.7,21.95,12.49,10.57,22.25,25.73,16.8,29.95,19.29,27.91,15.3,25.16
"99","2017101501_1501",78.68,81.84,83.12,109.2,97.1,101.26,80.28,97.26,77.7,83.89,97.55,19.6,22.36,34.05,18.38,18.69,23.23,29.19,21.83,20.9,13.67,23.21
"100","2017101501_1086",77.25,78.43,83.33,109.41,99.3,99.55,79.91,97.62,77.48,83.58,97.82,21.52,23.15,32.77,16.19,22.49,17.76,30.21,20.12,20.68,11.26,21.11
"101","2017101500_742",84.84,85.67,82.14,96.76,85.49,82.87,108.38,83.38,102.95,96.86,84.63,25.88,25.24,18.78,14.74,34.81,7.98,12.78,23.35,16.38,16.34,14.07
"102","2017101500_336",86.63,82.75,81.84,95.69,82.62,79.21,108.41,71.71,104.56,96.29,79.93,24.81,17.33,22.17,16.29,34.18,13.43,13.06,19.86,16.21,14.99,12.63
"103","2017101500_3319",6.86,21.56,37.42,37.79,21.84,38.37,35.36,12.75,39.54,38.25,34.07,18.53,17.74,17.18,24.76,18.7,29.41,14.02,19.53,25.22,26.49,32.55
"104","2017101500_2975",7.16,20.72,37.03,37.26,20.75,36.55,35.3,13.98,40.14,38.18,32.99,24.08,22.58,18.44,23.99,23.71,32.39,17.22,24.53,26.65,27.99,32.41
"105","2017101500_2550",116.8,98.38,82.73,79.08,98.51,83.75,85.5,110.67,79.73,80.29,83.16,37.01,33.61,38.3,29.97,32.42,28.31,41.81,35,27.67,33.72,21.27
"106","2017101500_2254",110.26,97.07,81.35,79.45,96.91,83.9,83.84,105.58,82.85,80.31,83.2,42.45,37.36,39.18,32.45,35.77,27.96,41.4,39.02,31.07,33.22,24.85
"107","2017101500_1856",33.78,34.64,38.84,20.69,37.34,38.08,4.47,36.91,1.64,20.52,38.62,14.98,23.59,31.9,29.74,18.89,44.25,30.17,25.26,26.72,30.92,37.2
"108","2017101500_1324",37.79,38.46,35.37,22.07,36.83,38.75,3.66,36.63,7.4,22.65,38.7,38.41,37.45,26.9,31.72,14.95,44.36,31.27,28.7,29.88,33.83,39.3
"109","2017101200_35",18.93,32.21,37.56,1.1,18.61,34.65,32.21,35.36,39.29,35.84,4.75,33.95,20.41,33.57,29.1,22.81,18.95,30.23,28.26,27.12,40.91,28.24
"110","2017101200_3081",99.41,85.86,82.3,116.95,99.13,81.75,84.15,84.81,78.32,82.79,113.99,20.42,29.23,18.35,27.43,33.07,36.4,24.47,22.25,24.89,13.46,27.75
"111","2017101200_2729",37.58,35.18,19.54,11.47,34.38,20,34.4,43.41,35.16,4.35,31.84,25.31,32.17,28.54,26.04,35.18,30.94,21.69,23.16,23.97,26.92,24.94
"112","2017101200_2565",95.67,83.33,80.44,113.78,93.35,79.56,79.84,85.05,73.69,80.69,116.45,19.06,31.13,22.84,33.55,38.1,40.96,25.51,24.92,39.81,14.9,36.79
"113","2017101200_2352",37.77,35.91,21.78,16.94,35.89,22.02,36.08,39.45,36.23,11.45,28.98,32.37,35.53,30.31,30.19,39.45,33.64,24.84,21.45,25.93,32.82,27.25
"114","2017101200_2158",35.19,34.31,25.04,14.11,37.16,23.91,36.39,34.52,36.62,15.48,30.45,17.25,18.99,11.14,12.35,28.2,18.2,14.76,11.82,16.03,13.51,14.24
"115","2017101200_1737",37.53,35.52,25.53,17.52,36.84,23.25,34.36,42.37,35.98,16.85,26.67,35.98,38.38,33.81,43.89,43.81,41.35,29.64,27.4,34.04,41.57,36.09
"116","2017100900_853",62.73,70.34,68.31,61.92,65.92,67.17,65.71,71.94,68.59,78.7,80.42,13.92,20.34,23.54,16.73,28.08,31.94,26.46,22.63,18.64,27.97,22.34
"117","2017100900_4324",43.8,37.42,25.34,33.53,39.64,46.44,43.23,42.67,45.96,33.37,38.43,28.95,22.5,18.86,24.81,20.78,28.97,14.16,9.35,15.81,16.3,23.48
"118","2017100900_36",77.92,98.33,115.95,110.78,82.49,81.58,81.92,76.65,79.92,103.09,85.17,13.39,31.34,33.5,32.17,34.41,28.19,37.32,36.62,24.15,34.89,31.75
"119","2017100900_3410",78.9,114.67,93.43,86.73,78.41,77.93,98,94.36,103.83,80.89,81.64,35.81,40.93,29.98,39.43,38.59,20.88,39.13,33.6,27.66,26.26,31.17
"120","2017100900_3028",76.75,91.76,105.18,99.84,84.43,77.21,78.65,80.49,78.95,94.13,85.49,19.42,30.09,34.36,31.67,30.52,25.71,35.54,40.06,32.46,35.56,26.44
"121","2017100900_2851",40.12,6.5,25.38,31.62,40.32,37.7,16.42,25.05,20.54,36.47,35.85,33.46,35.2,30.42,35.15,36.43,21.22,24.58,31.35,34.95,27.91,29.52
"122","2017100900_2595",78.11,97.97,117.59,110.19,82.51,81.09,82.6,79.52,74.95,103.05,84.85,21.11,32.44,36.71,32.56,36.77,26.97,38.66,39.42,25.27,34.91,32.3
"123","2017100900_2224",40.83,6.35,26.07,33.32,40.54,38.31,16.09,25.41,20.06,36,37.62,31.74,26,28.09,34.21,34.91,18.96,22.52,28.59,32.79,24.47,27.02
"124","2017100900_1889",39.54,31.06,17.38,21.79,36.71,38.98,34.16,36.98,36.43,31.04,33.72,27.86,14.98,22.9,23.18,15.3,24.8,16.71,12.92,24.08,11.75,21.01
"125","2017100811_3905",64.63,64.06,66.38,63.16,65.88,43.15,66.72,65.95,68.87,62.47,56.51,37.57,52.11,53.17,11.84,52.65,39.68,42.35,46.11,41.46,25.58,14.81
"126","2017100811_37",95.16,85.37,96.07,83.24,83.4,100.48,105.04,84.86,86.75,83.22,85.55,12.07,13.99,21.56,9.4,25.99,10.8,8.04,24.81,22.31,21.47,19.67
"127","2017100811_3467",84.98,84.49,80.33,104.73,89.02,83.54,81.42,88.51,82.66,82.16,114.79,40.23,18,32.68,29.87,24.64,38.29,29.8,26.82,22.21,27.55,37.07
"128","2017100811_3132",20.2,36.02,22.12,39.29,12.78,7.2,36.36,37.21,40.54,36.16,36.98,37.75,39.17,29.04,22.78,38.34,39.8,30.38,32.84,41.16,25.66,34.58
"129","2017100811_2163",32.91,34.15,34.65,12.81,30.22,34.14,33.41,29.6,35.65,36.89,6.31,14.38,36.38,26.4,27.55,29,20.15,27.81,27.76,32.42,28.2,22.38
"130","2017100811_1308",88.55,87.61,85.09,107.36,87.18,86.81,84.98,87.58,85.12,85.72,117.97,34.31,15.92,28.75,20.85,22.61,31.93,27.42,24.21,19.94,27.15,22.33
"131","2017100810_370",85.5,119.38,84.29,84.47,103.8,81.43,95.75,82.29,83.57,79.87,99.01,25.63,28.84,15.19,29.28,27.61,27.44,24.15,40.87,21.45,25.01,28.77
"132","2017100810_3680",82.94,112.37,81.22,80.6,92.37,90.06,81.7,78.51,80.18,80.89,82.88,37.57,21.17,21.85,33.84,32.17,22.68,13.67,41.08,16.77,29.52,14.75
"133","2017100810_3113",45,51.63,44.25,49.3,50.51,37.04,48.95,46.67,28.22,15.37,47.22,27.02,27.83,33.76,24.66,19.55,32.96,37.74,33.57,30.88,33.87,42.98
"134","2017100810_2889",84.14,107.4,80.98,82.24,96.11,95.26,78.03,79.91,81.33,81.95,89.93,20.38,17.8,20.84,28.41,22.22,19.68,10.74,34.05,16.16,27.04,31.85
"135","2017100810_2684",33.46,40.31,31.82,39.25,40.17,19.41,39.03,33.4,13.03,0.55,40.28,24.48,26.58,31.99,20.99,15.46,29.01,36.07,37.23,27.16,30.14,42.46
"136","2017100810_2060",87.6,78.31,87.51,78.27,75.42,100.71,77.81,82.41,106.77,118,77.79,27.73,25.25,20.92,30.2,37.59,19.44,15.36,20.43,21.42,16,8.97
"137","2017100810_1815",35.77,2.58,37.79,19.17,39.04,22.58,39.32,40.65,40.78,38.22,26.17,27.16,26.12,21.81,24.74,32.66,32.4,40.18,15.33,34.05,22.35,20.31
"138","2017100810_1643",87.88,80.4,87,81.92,80.35,99.48,81.04,84.94,106.8,119.28,80.74,27.83,25.86,20.83,30.19,36.22,23.45,16.75,18.68,25.77,22.84,11.35
"139","2017100810_1254",34.99,8.09,36.38,34.35,20.57,22.19,40.5,36.41,37.32,35.9,24.51,32.31,41.64,34.01,28,37.62,39.32,18.22,42.12,38.32,31.48,26.48
