"","combid","Poss_1_x","Poss_2_x","Poss_3_x","Poss_4_x","Poss_5_x","Poss_6_x","Poss_7_x","Poss_8_x","Poss_9_x","Poss_10_x","Poss_11_x","Def_12_x","Def_13_x","Def_14_x","Def_15_x","Def_16_x","Def_17_x","Def_18_x","Def_19_x","Def_20_x","Def_21_x","Def_22_x","Poss_1_y","Poss_2_y","Poss_3_y","Poss_4_y","Poss_5_y","Poss_6_y","Poss_7_y","Poss_8_y","Poss_9_y","Poss_10_y","Poss_11_y","Def_12_y","Def_13_y","Def_14_y","Def_15_y","Def_16_y","Def_17_y","Def_18_y","Def_19_y","Def_20_y","Def_21_y","Def_22_y"
"11","2017101511_4158",70.72,70.51,66.5,69.12,70.73,63.88,74.07,71.48,65.73,71.42,55.56,99.47,79.08,80.46,78.66,77.91,64.31,111.15,99.13,72.95,118.38,78.43,27.53,10.63,14.63,20.99,35.02,9.68,39.83,31.33,43.4,43.56,29.31,34.86,23.02,32.22,39.13,25.55,23.15,34.85,28.5,19.3,37.01,33.28
"12","2017101511_3897",68.86,69.45,66.35,71.19,64.29,66.76,65.26,63.03,68.49,78.23,66.56,39.72,65.45,56.46,68.81,62.12,63.18,67.59,65.53,63.74,62.12,66.15,31.72,45.01,41.28,27.77,43.47,30.31,47.78,47.76,46.37,18.42,32.13,38.05,46.96,16.29,43.96,37.49,30.11,45.96,50.01,43.97,45.38,25.72
"13","2017101511_36",42.11,40.96,46.15,41.92,41.84,49.57,41.65,41.84,49.05,44.05,55.17,29.54,37.02,38.93,38.88,38.64,35.68,31.92,33.47,34.98,4.34,38.12,26.11,9.45,15.02,19.19,28.79,11.11,32.6,22.25,35.36,37.4,22.37,19.6,27.67,23.29,14.55,25.49,32.11,25.29,28.83,23.85,19.7,21.41
"14","2017101511_2227",59.48,73.34,76.56,79.52,76.66,80.48,80.36,77.4,80.66,67.92,79.65,116.9,99.57,89.77,97.79,88.8,83.74,86.92,90.78,82.78,87.93,84.77,21.65,3.46,28.23,14.28,24.8,36.76,17.17,15.64,7.02,36.96,30.04,8.9,13.58,33.21,24.19,14.71,18.31,29.37,11.45,26,41.24,20.52
"15","2017101511_1990",74.58,70.73,75.71,75.08,62.81,76.9,76.9,68.28,71.25,59.62,77.71,100.97,82.31,81.23,81.13,81.35,62.14,110.6,99.99,68.28,117.67,80.16,12.58,15.7,22.96,33.82,15.51,38.68,25.68,44,43.89,29.38,29.24,36.22,21.05,29.36,38.43,23.79,25.19,34.91,31.08,17.97,36.65,32.14
"16","2017101510_602",53.24,40.47,42.98,38.55,40.26,45.67,38.5,42.57,37.69,39.27,41.07,22.33,25.66,35.29,35.34,34.48,25.54,2.62,35.22,36.32,7.28,38.21,24.82,12.16,35.29,29.52,15.52,15.53,25.15,17.47,35.06,30.8,20.8,24.13,21.64,14.87,27.4,12.12,17.42,25.2,22.18,31.55,26.18,14.34
"17","2017101510_36",59.5,45.39,48.48,44.76,45.38,48.45,44.49,46.37,43.61,44.87,44.88,24.8,28.57,38.64,39.78,39.17,24.88,12.64,40.56,39.05,16.34,38.78,23.48,14.54,35.58,29.59,17.5,14.93,26.91,19.16,35.77,33.09,20.83,25.76,25.39,14.05,20.61,30.47,24.04,20.97,24.16,34.09,22.75,18.14
"18","2017101510_3114",51.37,37.22,42.39,36.87,37.32,43.86,34.34,39.24,34.61,35.45,39.93,26.91,25.36,33.09,33.41,31.88,26.28,3.32,33.28,38.12,2.36,37.78,25.54,11.61,33.46,30.89,17.63,18.26,27.58,19.74,36.6,31.9,23.2,22.86,23.76,18.79,30.02,12.31,20.17,30.84,24.33,28.95,30.92,13.63
"19","2017101510_2957",55.23,71.43,69.68,69.11,73.64,73.42,71.55,70.49,67.59,74.79,75.16,85.16,98.01,75.76,86.61,75.69,75.48,89.7,76.63,73.56,88.42,72.44,28.73,43.48,25.74,22.68,30.77,36.35,46.57,20.83,16.47,40.17,33.43,34.1,27.27,22.04,33.05,34.94,38.76,28.94,25.55,27.15,36.08,43.13
"20","2017101510_1915",67.67,47.22,49.77,51.46,47.37,45.61,45.62,51.01,52.46,46.07,45.14,34.41,14.3,43,32.83,43.37,44,28.87,42.97,39.43,30.13,44.44,30.72,8.13,24.85,29.23,20.96,13.83,5.13,30.52,35.27,11.57,17.14,15.1,31.41,30.08,18.94,16.1,12.66,25.2,27.23,23.21,11.83,8.42
"21","2017101510_1611",61.85,49.22,50.48,50.93,49.19,49.85,48.65,49.93,53.72,48.49,48.57,23.67,11.52,40.46,24.3,40.89,41.38,18.49,40.67,38.07,17.89,39.77,28.45,10.36,30.18,32.84,28.1,17.91,5.4,36.21,36.46,14.01,22.7,23.02,25.67,36.08,24.04,23.38,17.95,28.94,31.85,28.57,22.02,12.57
"22","2017101510_1576",70.8,48.28,45.04,46.83,46.34,48.13,46.89,45.4,43.81,48.95,46.08,31.42,14.29,41.97,33.09,40.73,42.35,29.35,42.69,35.76,24.05,41.53,34.9,20.07,37.85,40.82,35.79,29.83,11.69,42.24,46.21,27.62,32.74,35.56,35.44,42.93,40.15,36.6,28.54,41.95,40.1,33.02,30.89,21.83
"23","2017101509_939",63.36,56.18,59.46,61.66,62.9,60.19,48.29,62.52,63.46,62.38,59.95,83.6,75.95,81,68.91,87.93,93.63,69.85,78.52,71.54,74.28,69.31,9.77,37.13,38.76,25.9,21.74,29.88,22.43,17.88,14.59,19.44,7.5,16.78,16.27,22.26,30.84,19.21,21.02,22.32,19.67,25.8,14.5,19.41
"24","2017101509_523",71.63,71.82,77.15,69.06,73.09,77.4,75.9,74.05,79.15,71.7,61.45,84.86,79.38,82.14,96.73,78.68,99.09,108.63,76.05,99.22,76.51,114.18,21.92,25.84,20.93,42.98,13.72,31.47,43.23,40.7,16.85,34.92,26.1,31.01,42.69,20.79,36.46,36.29,25.77,31.11,27.03,28.82,23.17,29.77
"25","2017101509_48",71.1,72.09,74.95,70.07,72.31,75.44,74.96,73.24,76.38,72.41,60.17,85.83,76.63,78.89,97.87,77.91,100.82,115.96,75.55,100.64,74.91,110.43,23.49,26.79,20.97,45.17,11.52,32.68,45.59,42,16.03,36.91,27.89,32.32,44.05,20.61,40.82,39.07,27.02,35.78,27.61,31.5,24.52,30.99
"26","2017101509_3358",60.66,58.06,59.13,58.2,57.54,56.56,58.52,58.1,57.91,64.51,58.44,56.93,59.07,49.98,45.21,53.17,60.16,59.83,57.61,55.01,50.49,24.39,30.91,27.84,34.36,49,21.62,10.22,12.92,37.89,19.56,25.74,5.12,15.88,22.45,22.72,36.64,34.19,3.5,29.61,47.96,38.76,13.03,16.55
"27","2017101509_3201",79.39,72.07,75.72,80.14,77.56,66.51,77.8,79.2,78.4,72.94,79.37,93.99,82.61,93.9,74.79,105.71,81.78,80.79,83.19,80.98,81.45,101.46,11.69,36.86,36.29,25.93,31.22,19.46,17.16,15.8,20.13,10.5,24.96,16.26,16.36,19.99,24.91,20.03,23.81,16.04,25.57,14.83,18.75,24.78
"28","2017101509_1566",77.14,72.31,73.87,75.7,73.52,74.59,61.17,73.06,76.79,74.15,69.39,91.44,82.45,88.61,85.09,107.98,115.52,83.48,87.05,82.17,82.23,82.33,18.17,49.13,46.96,39,23.81,42.05,31.54,28.8,35.84,31.09,15.1,29.61,26.69,38.55,43.89,34.12,46.79,35.35,32.35,38.62,22.65,31.27
"29","2017101508_80",64.95,71.34,73.59,73.38,65.82,75.7,78.18,77.09,73.59,78.23,74.21,71.78,68.78,83.95,95.09,99.93,81.5,114.44,100.01,83.82,66.54,67.29,28.62,43.17,19.99,17.92,38.89,45.89,18.47,39.34,14.61,36.71,22.2,23.04,17.96,18.05,38.22,29.85,20.34,36.42,31.11,41.47,37.72,36.58
"30","2017101508_571",40.59,44.39,41.82,41.56,57.51,45.91,41.9,42.45,43.8,46.04,39.2,33.96,34.71,35.02,19.29,1.53,39.64,39.54,12.55,17.4,35.43,41.32,12.04,32.68,14.54,29.45,22.65,27.12,17.52,21.07,5.74,24.08,7.79,18.46,23.82,28.49,17.61,13.45,18.94,17.37,20.14,14.23,14.31,13.9
"31","2017101508_449",61.24,70.89,73.25,73.18,65.01,74.9,77.13,75.64,71.21,69.9,67.15,68.2,68.27,80.48,90.8,98.6,80.43,113.04,99.52,80.61,66.61,65.35,31.59,43,22.05,18.98,36.09,46.87,20.15,40.16,17.07,31.9,23.98,27.33,23.85,19.69,38.53,30.83,24.61,38.37,34.21,42.35,35.43,30.2
"32","2017101508_41",45.71,47.81,45.62,45.12,59.68,47.89,44.22,44.51,46.09,48.01,44.11,32.82,35.5,37.44,22.17,6.41,39.95,39.52,13.97,22.1,35.56,38.1,11.91,34.26,13.86,31.38,23.3,29.65,16.79,24,5.66,26.48,9.4,19.22,24.93,30.32,17.2,8.25,19.85,16.58,16.22,15,13.05,9.34
"33","2017101508_3893",63.33,72.24,76.66,66.5,74.93,72.64,79.58,79.83,77.57,72.73,76.04,85.82,81.79,83.85,99.4,108.77,80.12,119.01,99.36,82.74,85.13,65.37,30.81,45.33,23.86,38.69,20.38,40.49,46.68,19.78,40.15,17.4,29.92,21.28,29.6,15.99,37.17,33.28,25.64,39.55,35.7,43.51,41.39,31.77
"34","2017101508_2806",76.5,76.17,74.95,77.78,61.29,75.01,77.39,76.34,74.86,73.69,77.85,85.29,83.85,98.59,87.58,116.72,79.76,80.27,107.18,99.05,84.88,83.14,40.93,18.54,39.16,21.6,28.99,26.15,36.75,32.27,46.87,28.92,43.04,27.96,23.63,36.36,33.98,30.83,35.09,36.71,29.48,38.07,39.68,42.26
"35","2017101508_2207",58.59,47.56,45.09,45.42,48.7,43.25,41.17,43.34,45.9,45.88,46.18,49.2,50.38,35.6,29.33,19.68,39.4,4.8,19.63,39.1,43.44,47.08,29.62,42.85,24.88,17.98,41.13,44.71,19.06,38.44,13.82,35.2,24.88,40.39,38.03,40.2,22.48,31.99,36.55,29.39,30.78,15.96,23.13,25.23
"36","2017101508_133",41.77,43.62,47.53,40.35,58.49,43.36,41.95,39.61,43.89,43.88,40.69,33.39,33.6,33.79,21.96,10.84,38.4,38.28,16.59,34.26,21.62,34.68,24.57,48.84,32.39,46.95,33.43,41.87,31.41,39.71,21.3,39.47,22.36,38,41.63,44.26,44.83,45.3,39.35,37.86,39.46,29.43,41.42,26.93
"37","2017101508_1008",70.52,77.22,83.32,84.31,84.21,84.69,90.49,82.93,80.52,84.48,83.05,86.15,82.18,85.95,85,100.46,86.01,118.98,92.12,84.14,83.63,84,30.52,44.4,23.92,21.16,38.04,45.92,17.41,41.91,19.2,39.03,28.95,18.03,29.37,22.1,39.36,35.81,26.21,30.23,41.16,42.69,41.79,37.58
"38","2017101507_597",61.23,42.93,48.73,40.29,51.2,42.65,41.13,42.34,42.93,39.11,37.95,17.1,10.25,17.97,3.44,34.95,37.05,36.42,24.99,34.96,36.68,36.5,25.4,29.25,39.7,27.26,6.92,33.55,37.63,17.49,13.96,9.55,20.81,17.18,13.67,16.88,12.51,28.61,16.62,11.98,28.21,22.12,34.71,26.8
"39","2017101507_4223",43.39,50.59,48.62,50.85,50.19,50.86,47.6,48.15,47.19,50.21,47.77,56.25,58.44,55.99,54.31,54.04,55.77,59.65,50.88,82.85,51.86,52.27,41.45,0.61,22.68,8.89,6.95,3.58,11.24,35.29,32.38,11.86,40.86,20.49,8.3,32.82,8.81,13.7,40.39,39.72,1.23,21.74,7.03,9.7
"40","2017101507_3940",50.96,48.86,49.62,50.93,48.5,49.84,51.75,54.99,52.27,43.62,55.04,52.58,58.32,53.53,55.71,52.7,51.69,53.08,53.78,63.59,55.63,58.14,45.58,10.36,43.29,24.29,26.03,18.47,44.81,45.51,43.44,24.67,44.22,43.79,21.01,43.37,30.54,40.23,44.28,45.19,24.8,45.76,27.03,34.32
"41","2017101507_37",70.96,64.54,63.4,72.76,75.95,75.36,71.21,70.59,72.84,74.73,74.28,82.55,109.72,114.86,94.44,73.09,94.73,87.57,95.06,81.27,81.62,72.06,46.36,16.35,31.94,39.16,35.01,31.45,29.25,12.59,17.69,23.15,42.82,36.67,32.86,34.91,34.16,28.04,32.98,41.5,24.05,24.24,19.62,29.12
"42","2017101507_3523",62.29,41.72,45.79,39.25,54.87,39.41,34.84,43.25,40.81,39.77,38.67,22.06,13.41,21.2,7.54,34.09,38.38,35.21,25.26,35.38,34.44,37.12,34.55,36.74,45.35,34.51,13.39,40.44,44.92,27.83,23.99,21.43,30.46,42.99,38.88,35.25,44.36,39.21,28.77,17.81,43.95,31.93,43.15,35.04
"43","2017101507_3069",70.75,63.8,75.49,76.69,77.91,74.86,72.37,76.82,76.43,69.78,75.96,83.75,100.04,114.28,93.79,80.1,93.62,86.92,100.93,80.78,82.64,78.01,45.31,31.43,40.88,33.65,31.51,27.76,14.91,19.67,24.68,12.46,42.85,37.42,23.16,30.93,31.49,26.92,30.41,42.2,37.91,21.62,17.05,33.2
"44","2017101507_2937",68.24,62.95,72.18,74.83,75.15,72.69,68.29,73.87,73.96,68.12,73.25,82.25,95.37,113.73,90.81,77.44,91.31,85.2,94,79.43,78.45,76.32,45.37,30.75,41.2,35.35,32.44,27.24,15.47,19.48,23.47,12.66,44.2,37.68,16.81,32.6,32.08,30.29,30.88,42.23,41.03,22.53,16.78,29
"45","2017101507_2377",52.74,56.35,47.68,45.01,45.59,47.01,51.65,48.49,47,52.34,46.99,38.21,22.56,5.61,28.81,41.01,28.9,35.01,23.27,41.29,40.18,42.84,8.57,23.01,14.25,17.71,20.95,26.85,39.42,35.41,30.5,42.75,10.23,16.41,32.56,20.97,21.5,22.38,22.89,10.99,12.02,31.22,37.01,25.37
"46","2017101507_221",59.67,41.08,43.99,36.74,49.33,40.58,39.69,40.46,43.3,38.39,35.43,34.85,13.64,20.94,7.07,34.03,35.29,44.74,20.91,32.78,37.54,34,27.7,34.07,42.67,30.67,8.57,38.03,40.31,20.09,15.83,13.52,24.34,38.07,18.62,26.88,18.85,36.02,23.28,20.69,31.41,27.24,40.2,32.21
"47","2017101507_2153",59.85,77.51,73.35,80.16,66.66,77.59,80.29,78.99,77.29,79.76,77.07,98.26,108.16,100.42,115.41,86.43,82.75,83.09,93.66,83.29,78.26,83.49,19.88,20.14,8.64,20.71,42.46,19.09,12.86,28.47,32.21,35.64,25.8,13.99,18.91,22.94,15.73,15.41,24.79,35.51,11.27,21.91,19.79,19.19
"48","2017101507_1977",59.66,77.66,68.98,79.73,69.29,79.07,79.69,77.59,76.61,79.4,82.32,99.5,106.84,99.74,113.38,85.58,82.35,82.39,96.78,85.05,76.2,83.42,25.96,25.07,13.91,26.78,45.7,20,17.17,35.62,39.74,42.68,31.9,34.76,34.56,35.83,36.07,27.09,36.42,41.84,27.12,32.5,22.99,28.99
"49","2017101507_1497",58.12,76.07,70.12,78.53,65.74,76.21,77.3,76.07,75.27,77.5,79.31,87.8,109.02,100.12,116.03,84.96,83.94,83.19,99.85,84.03,83.49,84.13,23.72,23.13,11.61,24.22,44.49,18.8,15.76,33.72,39.21,41.14,29.81,36.29,26.06,30.68,26.03,22.18,34.15,45.64,25.74,30.81,19.67,26.1
"50","2017101507_1063",56.81,74.93,70.25,77.8,66.32,75.36,76.63,74.09,74.05,77.32,77.78,86,107.85,96.89,113.67,83.39,83.15,83.13,96.99,83.35,82.58,82.33,23.74,22.12,10.84,24.16,45.91,17.73,13.56,32.05,37.54,40.66,29.73,36.17,27.51,32.4,27.44,21.37,34.87,43.25,26.9,31.61,18.21,28.27
"51","2017101506_4276",43.94,54.09,54.58,53.95,50.59,52.78,49.35,47.71,52.03,51.08,48.08,57.92,56.53,56.29,69.16,54.64,60.94,62.36,57.62,55.05,56.13,55.82,26.73,36.6,51.88,40.07,11.28,39.51,20.35,6.08,11.14,8.39,16.83,9.3,14.25,49.65,37.67,18.83,41.23,25.26,22.33,40.72,36.62,31.87
"52","2017101505_4063",44.36,43.31,43.03,47.11,42.12,54.97,42.68,45.12,45.75,48.87,41.55,34.26,9.99,20.22,45.91,42.11,39.78,46.5,20.41,41.88,43.25,39.27,35.11,26.22,31.5,36.97,45.4,33.21,21.9,44.78,41.7,25.22,16.82,36.38,33.19,36.21,36.93,38.88,34.9,37.98,34.19,24.79,32.24,29.95
"53","2017101505_386",40.59,41.45,39.85,40.06,40.1,54.7,43.53,44.75,44.87,45.09,43.76,2.16,17.39,35.32,33.49,38.17,34.7,32.81,18.31,34.72,34.68,35.8,38.46,26.1,33.73,30.41,41.98,33.38,21.37,18,39.97,45.19,18.72,38.81,38.8,29.84,41.29,20.68,24.16,37.49,35.94,33.13,27.02,36.18
"54","2017101505_36",82.54,70.72,59.7,80.08,81.22,80.6,77.47,79.79,80.3,73.62,79.3,85.98,79.15,84.1,100.12,87.92,87,83.59,99.75,89.42,88.99,110.26,19.69,14.21,18.62,29.44,24.14,33.63,11.56,18.08,9.23,32.49,14.13,24.54,15.12,14.57,14.27,21.59,19.92,31.08,20.03,26.32,19.37,12.84
"55","2017101505_3439",79.93,68.65,57.6,77.2,79.24,73.92,75.75,75.67,77.35,75.27,78.95,86.24,85.36,104.52,84.6,83.89,83.85,97.91,97.93,83.7,99.27,114.6,26.41,47.66,29.91,20.62,30.61,24.25,41.33,37.13,44.99,18.18,35.89,38.02,30.61,33.96,35.81,31.09,44.13,33.43,34.06,20.4,31.6,43.37
"56","2017101505_2728",37.52,51.75,60.4,38.37,38.64,40.77,43.05,42.43,42.54,38.02,41.33,32.33,38.33,34.68,16.85,33.62,33.63,34.4,19.9,19.53,30.35,6.13,15.88,37.75,25.81,9.34,19.87,10.47,36.22,27.13,39.09,11.82,30.63,15.27,34.51,30.42,25.63,21.16,29.28,10.7,22.35,21.41,27.99,15.41
"57","2017101505_1540",37.53,46.9,58.76,41.91,39.26,41.61,41.83,46.51,37.91,40.99,39.13,33.71,36.76,36.1,21.75,32.55,34.43,42.95,24.48,28.58,35.01,14.13,32.2,46.18,36.55,21.86,31.75,20.05,43.14,27.97,46.12,27.74,39.5,30.71,44.95,40.51,39.42,33.6,37.63,22.71,39.13,31.97,42.51,37.88
"58","2017101505_1061",80.44,78.62,76.63,80.58,75.96,82.01,67.56,76.59,77.5,74.62,79.39,116.26,102.79,76.76,85.44,84.81,80.93,87.49,102.62,83.46,77.1,84.21,25.29,38.95,20.09,29.43,35.14,18.04,29.51,40.09,43.2,23.34,48.9,37.33,38.33,34.7,21.44,43.08,38.66,25.53,34.9,31.25,35.72,27.25
"59","2017101504_986",76.88,74.71,67.26,76.8,71.72,61.58,75.53,77.24,74.61,75.4,74.48,80.55,77.88,96.66,94.53,81.38,103.56,81.3,80.67,77.35,94.94,116.05,39.39,26.18,20.24,29.85,35.8,26.12,20.71,37.3,47.68,44.88,23.33,39.58,28.1,28.7,32.54,42.53,41.34,36.36,34.55,30.67,31.71,38.07
"60","2017101504_657",70.38,68.17,61.89,68.79,65.41,58.86,66.39,70.83,69.3,70.32,66.06,77.39,74.21,95.39,88.06,76.37,98.49,79.42,78.96,75.58,90.57,105.24,41.45,27.12,16.48,30.49,32.36,29.15,19.53,37.03,39.09,46.98,23.51,40.74,23.4,28.41,40.15,45.5,43.66,37.13,34.42,28.31,35.71,41.69
"61","2017101504_525",43.79,39.52,60.24,41.53,46.44,48.72,41.73,38.52,43.59,40.98,42.34,20.7,35.89,34.74,39.34,41.2,20.14,37.98,5.54,36.04,35.94,12,22.88,24.62,18.02,14.81,35.06,8.63,12.63,23.63,18.46,11.2,30.21,15.67,21.01,24.2,18.09,19.69,18.05,11.99,16.16,15.42,30.78,19.28
"62","2017101504_4669",57.38,62.07,64.25,61.19,58.61,47.78,64.17,63.72,61.46,60.92,62.1,71.15,68.76,87.03,79.68,66.09,88.99,68.68,66.35,66.77,79.9,102.94,32.91,19.39,20,7.39,28.47,22.84,10.62,27.42,40.97,38.42,16.97,26.81,13.99,32.83,29.64,30.94,23.61,26.73,21.82,18.12,28.3,28.3
"63","2017101504_45",46.53,39.72,60.47,40.38,45.61,47.75,40.27,38.65,42.02,40.8,42.16,20.12,36.04,36.62,38.23,39.89,20.45,37.51,6.67,35.72,36.63,10.22,22.06,25.04,18.82,16.48,34.5,8.6,14.67,25.63,18.62,11.04,29.59,17.3,20.4,25.39,18.52,20.76,18.46,11.56,18.4,16.77,29.56,20.77
"64","2017101504_4086",58.83,71.96,54.27,58.61,57.34,67.96,55.69,59.84,59.22,60.95,56.1,58.32,24.26,53.13,60.28,50.86,54.51,52.74,53.54,48.81,54.04,52.95,31.24,30.61,31.63,25.19,43.25,12.56,35.12,22.72,27.21,19.95,39.6,22.43,34.56,32.12,20.65,28.81,30.51,38.1,21.16,39.57,27.21,35.92
"65","2017101504_3645",74.04,57.61,75.13,72.41,72.34,66.55,74.52,77.63,73.86,72.55,78.69,75.96,99.99,74.48,74.14,77.18,78.71,76.66,77.55,80.56,76.64,78.18,18.87,26.78,24.26,27.86,6.91,37.71,29.84,18.93,27.92,34.05,13.65,31.33,18.72,23.69,32.02,25.35,22.07,12.3,34.63,13.88,27.39,19.21
"66","2017101504_3224",53.36,51.3,54.81,49.79,54.75,45.22,53.38,51.59,53.34,53.46,55.49,76.63,62.79,54.05,57.4,52.64,67.68,104.16,58.47,60.13,58.47,54.06,12.82,24.64,14.95,22.68,9.32,32.81,24.89,12.96,19.47,34.53,10.37,28.55,30.97,14.04,21.22,13.75,9.21,18.65,34.17,7.59,22.29,9.42
"67","2017101504_297",72.91,70.84,64.28,72.56,69,60.97,69.93,73.72,73.25,73.09,68.73,79.23,74.1,98.61,95.79,79.97,104.19,80.56,80.48,76.17,95.13,113.15,41.88,26.47,15.56,28.07,32.83,28.2,19.87,36.33,37.87,47.4,23.45,41.58,23.91,27.66,39.66,45.19,42.09,37.65,33.33,27.6,35.05,41.51
"68","2017101504_2960",47.01,43.08,50.59,41.47,46.58,59.66,41.71,41.16,49.02,41.87,42.99,36.42,39.63,25.22,24.78,38.8,16.31,35.74,37.73,38.07,24.99,2.73,23.82,36.26,44.89,38.02,27.12,31.6,43.08,27.26,14.88,15.43,39.97,27.66,38.33,25.7,28.92,22.84,35.25,29.77,30.39,33.49,29.99,37.44
"69","2017101504_2436",45.5,47.17,50.33,43.85,48.24,58.75,45.45,43.81,46.6,43.45,46.23,39.5,44.15,24.73,25.74,38.7,14.79,38.14,39.41,43.25,25.4,2.26,14.61,26.53,37.35,24.43,19.03,26.61,34.15,16.65,5.54,8.11,32.24,16.1,29.92,26.45,21.63,10.78,15.11,18.65,21.19,25.55,22.47,21.04
"70","2017101504_1997",46.17,47.75,53.66,44.21,50.26,63.04,46.16,43.61,45.49,42.62,48.18,36.88,43.58,24.38,27.98,41.48,18.23,38.06,39.7,43.76,29.25,10.94,9.54,23.8,33.4,19.88,14.8,23.1,31.65,11.68,3.12,5.89,27.94,10.69,28.29,20.8,8.53,3.77,2.17,14.46,17.67,22.3,13.1,1.9
"71","2017101504_1583",74.62,77.83,59.83,77.1,73.39,70.47,76.75,79.37,75.36,77.13,76.9,99.72,80.28,83.27,85.05,78.72,99.42,82.92,112.77,82.91,82.59,107.45,29.91,26.4,33.31,37.46,18.19,43.77,40.62,27.09,33.66,43.05,22.06,33.13,29.46,28.03,32.64,31.51,32.38,41.54,33.84,37.02,22.03,31.72
