"","combid","Poss_1_x","Poss_2_x","Poss_3_x","Poss_4_x","Poss_5_x","Poss_6_x","Poss_7_x","Poss_8_x","Poss_9_x","Poss_10_x","Poss_11_x","Poss_1_y","Poss_2_y","Poss_3_y","Poss_4_y","Poss_5_y","Poss_6_y","Poss_7_y","Poss_8_y","Poss_9_y","Poss_10_y","Poss_11_y"
"13","2017101511_36",42.11,40.96,46.15,41.92,41.84,49.57,41.65,41.84,49.05,44.05,55.17,26.11,9.45,15.02,19.19,28.79,11.11,32.6,22.25,35.36,37.4,22.37
"14","2017101511_2227",59.48,73.34,76.56,79.52,76.66,80.48,80.36,77.4,80.66,67.92,79.65,21.65,3.46,28.23,14.28,24.8,36.76,17.17,15.64,7.02,36.96,30.04
"15","2017101511_1990",74.58,70.73,75.71,75.08,62.81,76.9,76.9,68.28,71.25,59.62,77.71,12.58,15.7,22.96,33.82,15.51,38.68,25.68,44,43.89,29.38,29.24
"16","2017101510_602",53.24,40.47,42.98,38.55,40.26,45.67,38.5,42.57,37.69,39.27,41.07,24.82,12.16,35.29,29.52,15.52,15.53,25.15,17.47,35.06,30.8,20.8
"17","2017101510_36",59.5,45.39,48.48,44.76,45.38,48.45,44.49,46.37,43.61,44.87,44.88,23.48,14.54,35.58,29.59,17.5,14.93,26.91,19.16,35.77,33.09,20.83
"18","2017101510_3114",51.37,37.22,42.39,36.87,37.32,43.86,34.34,39.24,34.61,35.45,39.93,25.54,11.61,33.46,30.89,17.63,18.26,27.58,19.74,36.6,31.9,23.2
"19","2017101510_2957",55.23,71.43,69.68,69.11,73.64,73.42,71.55,70.49,67.59,74.79,75.16,28.73,43.48,25.74,22.68,30.77,36.35,46.57,20.83,16.47,40.17,33.43
"20","2017101510_1915",67.67,47.22,49.77,51.46,47.37,45.61,45.62,51.01,52.46,46.07,45.14,30.72,8.13,24.85,29.23,20.96,13.83,5.13,30.52,35.27,11.57,17.14
"21","2017101510_1611",61.85,49.22,50.48,50.93,49.19,49.85,48.65,49.93,53.72,48.49,48.57,28.45,10.36,30.18,32.84,28.1,17.91,5.4,36.21,36.46,14.01,22.7
"22","2017101510_1576",70.8,48.28,45.04,46.83,46.34,48.13,46.89,45.4,43.81,48.95,46.08,34.9,20.07,37.85,40.82,35.79,29.83,11.69,42.24,46.21,27.62,32.74
"23","2017101509_939",63.36,56.18,59.46,61.66,62.9,60.19,48.29,62.52,63.46,62.38,59.95,9.77,37.13,38.76,25.9,21.74,29.88,22.43,17.88,14.59,19.44,7.5
"24","2017101509_523",71.63,71.82,77.15,69.06,73.09,77.4,75.9,74.05,79.15,71.7,61.45,21.92,25.84,20.93,42.98,13.72,31.47,43.23,40.7,16.85,34.92,26.1
"25","2017101509_48",71.1,72.09,74.95,70.07,72.31,75.44,74.96,73.24,76.38,72.41,60.17,23.49,26.79,20.97,45.17,11.52,32.68,45.59,42,16.03,36.91,27.89
"26","2017101509_3358",60.66,58.06,59.13,58.2,57.54,56.56,58.52,58.1,57.91,64.51,58.44,30.91,27.84,34.36,49,21.62,10.22,12.92,37.89,19.56,25.74,5.12
"27","2017101509_3201",79.39,72.07,75.72,80.14,77.56,66.51,77.8,79.2,78.4,72.94,79.37,11.69,36.86,36.29,25.93,31.22,19.46,17.16,15.8,20.13,10.5,24.96
"28","2017101509_1566",77.14,72.31,73.87,75.7,73.52,74.59,61.17,73.06,76.79,74.15,69.39,18.17,49.13,46.96,39,23.81,42.05,31.54,28.8,35.84,31.09,15.1
"29","2017101508_80",64.95,71.34,73.59,73.38,65.82,75.7,78.18,77.09,73.59,78.23,74.21,28.62,43.17,19.99,17.92,38.89,45.89,18.47,39.34,14.61,36.71,22.2
"30","2017101508_571",40.59,44.39,41.82,41.56,57.51,45.91,41.9,42.45,43.8,46.04,39.2,12.04,32.68,14.54,29.45,22.65,27.12,17.52,21.07,5.74,24.08,7.79
"31","2017101508_449",61.24,70.89,73.25,73.18,65.01,74.9,77.13,75.64,71.21,69.9,67.15,31.59,43,22.05,18.98,36.09,46.87,20.15,40.16,17.07,31.9,23.98
"32","2017101508_41",45.71,47.81,45.62,45.12,59.68,47.89,44.22,44.51,46.09,48.01,44.11,11.91,34.26,13.86,31.38,23.3,29.65,16.79,24,5.66,26.48,9.4
"33","2017101508_3893",63.33,72.24,76.66,66.5,74.93,72.64,79.58,79.83,77.57,72.73,76.04,30.81,45.33,23.86,38.69,20.38,40.49,46.68,19.78,40.15,17.4,29.92
"34","2017101508_2806",76.5,76.17,74.95,77.78,61.29,75.01,77.39,76.34,74.86,73.69,77.85,40.93,18.54,39.16,21.6,28.99,26.15,36.75,32.27,46.87,28.92,43.04
"35","2017101508_2207",58.59,47.56,45.09,45.42,48.7,43.25,41.17,43.34,45.9,45.88,46.18,29.62,42.85,24.88,17.98,41.13,44.71,19.06,38.44,13.82,35.2,24.88
"36","2017101508_133",41.77,43.62,47.53,40.35,58.49,43.36,41.95,39.61,43.89,43.88,40.69,24.57,48.84,32.39,46.95,33.43,41.87,31.41,39.71,21.3,39.47,22.36
"37","2017101508_1008",70.52,77.22,83.32,84.31,84.21,84.69,90.49,82.93,80.52,84.48,83.05,30.52,44.4,23.92,21.16,38.04,45.92,17.41,41.91,19.2,39.03,28.95
"38","2017101507_597",61.23,42.93,48.73,40.29,51.2,42.65,41.13,42.34,42.93,39.11,37.95,25.4,29.25,39.7,27.26,6.92,33.55,37.63,17.49,13.96,9.55,20.81
"39","2017101507_4223",43.39,50.59,48.62,50.85,50.19,50.86,47.6,48.15,47.19,50.21,47.77,41.45,0.61,22.68,8.89,6.95,3.58,11.24,35.29,32.38,11.86,40.86
"40","2017101507_3940",50.96,48.86,49.62,50.93,48.5,49.84,51.75,54.99,52.27,43.62,55.04,45.58,10.36,43.29,24.29,26.03,18.47,44.81,45.51,43.44,24.67,44.22
"41","2017101507_37",70.96,64.54,63.4,72.76,75.95,75.36,71.21,70.59,72.84,74.73,74.28,46.36,16.35,31.94,39.16,35.01,31.45,29.25,12.59,17.69,23.15,42.82
"42","2017101507_3523",62.29,41.72,45.79,39.25,54.87,39.41,34.84,43.25,40.81,39.77,38.67,34.55,36.74,45.35,34.51,13.39,40.44,44.92,27.83,23.99,21.43,30.46
"43","2017101507_3069",70.75,63.8,75.49,76.69,77.91,74.86,72.37,76.82,76.43,69.78,75.96,45.31,31.43,40.88,33.65,31.51,27.76,14.91,19.67,24.68,12.46,42.85
"44","2017101507_2937",68.24,62.95,72.18,74.83,75.15,72.69,68.29,73.87,73.96,68.12,73.25,45.37,30.75,41.2,35.35,32.44,27.24,15.47,19.48,23.47,12.66,44.2
"45","2017101507_2377",52.74,56.35,47.68,45.01,45.59,47.01,51.65,48.49,47,52.34,46.99,8.57,23.01,14.25,17.71,20.95,26.85,39.42,35.41,30.5,42.75,10.23
"46","2017101507_221",59.67,41.08,43.99,36.74,49.33,40.58,39.69,40.46,43.3,38.39,35.43,27.7,34.07,42.67,30.67,8.57,38.03,40.31,20.09,15.83,13.52,24.34
"47","2017101507_2153",59.85,77.51,73.35,80.16,66.66,77.59,80.29,78.99,77.29,79.76,77.07,19.88,20.14,8.64,20.71,42.46,19.09,12.86,28.47,32.21,35.64,25.8
"48","2017101507_1977",59.66,77.66,68.98,79.73,69.29,79.07,79.69,77.59,76.61,79.4,82.32,25.96,25.07,13.91,26.78,45.7,20,17.17,35.62,39.74,42.68,31.9
"49","2017101507_1497",58.12,76.07,70.12,78.53,65.74,76.21,77.3,76.07,75.27,77.5,79.31,23.72,23.13,11.61,24.22,44.49,18.8,15.76,33.72,39.21,41.14,29.81
"50","2017101507_1063",56.81,74.93,70.25,77.8,66.32,75.36,76.63,74.09,74.05,77.32,77.78,23.74,22.12,10.84,24.16,45.91,17.73,13.56,32.05,37.54,40.66,29.73
"51","2017101506_4276",43.94,54.09,54.58,53.95,50.59,52.78,49.35,47.71,52.03,51.08,48.08,26.73,36.6,51.88,40.07,11.28,39.51,20.35,6.08,11.14,8.39,16.83
"52","2017101505_4063",44.36,43.31,43.03,47.11,42.12,54.97,42.68,45.12,45.75,48.87,41.55,35.11,26.22,31.5,36.97,45.4,33.21,21.9,44.78,41.7,25.22,16.82
"53","2017101505_386",40.59,41.45,39.85,40.06,40.1,54.7,43.53,44.75,44.87,45.09,43.76,38.46,26.1,33.73,30.41,41.98,33.38,21.37,18,39.97,45.19,18.72
"54","2017101505_36",82.54,70.72,59.7,80.08,81.22,80.6,77.47,79.79,80.3,73.62,79.3,19.69,14.21,18.62,29.44,24.14,33.63,11.56,18.08,9.23,32.49,14.13
"55","2017101505_3439",79.93,68.65,57.6,77.2,79.24,73.92,75.75,75.67,77.35,75.27,78.95,26.41,47.66,29.91,20.62,30.61,24.25,41.33,37.13,44.99,18.18,35.89
"56","2017101505_2728",37.52,51.75,60.4,38.37,38.64,40.77,43.05,42.43,42.54,38.02,41.33,15.88,37.75,25.81,9.34,19.87,10.47,36.22,27.13,39.09,11.82,30.63
"57","2017101505_1540",37.53,46.9,58.76,41.91,39.26,41.61,41.83,46.51,37.91,40.99,39.13,32.2,46.18,36.55,21.86,31.75,20.05,43.14,27.97,46.12,27.74,39.5
"58","2017101505_1061",80.44,78.62,76.63,80.58,75.96,82.01,67.56,76.59,77.5,74.62,79.39,25.29,38.95,20.09,29.43,35.14,18.04,29.51,40.09,43.2,23.34,48.9
"59","2017101504_986",76.88,74.71,67.26,76.8,71.72,61.58,75.53,77.24,74.61,75.4,74.48,39.39,26.18,20.24,29.85,35.8,26.12,20.71,37.3,47.68,44.88,23.33
"60","2017101504_657",70.38,68.17,61.89,68.79,65.41,58.86,66.39,70.83,69.3,70.32,66.06,41.45,27.12,16.48,30.49,32.36,29.15,19.53,37.03,39.09,46.98,23.51
"61","2017101504_525",43.79,39.52,60.24,41.53,46.44,48.72,41.73,38.52,43.59,40.98,42.34,22.88,24.62,18.02,14.81,35.06,8.63,12.63,23.63,18.46,11.2,30.21
"62","2017101504_4669",57.38,62.07,64.25,61.19,58.61,47.78,64.17,63.72,61.46,60.92,62.1,32.91,19.39,20,7.39,28.47,22.84,10.62,27.42,40.97,38.42,16.97
"63","2017101504_45",46.53,39.72,60.47,40.38,45.61,47.75,40.27,38.65,42.02,40.8,42.16,22.06,25.04,18.82,16.48,34.5,8.6,14.67,25.63,18.62,11.04,29.59
"64","2017101504_4086",58.83,71.96,54.27,58.61,57.34,67.96,55.69,59.84,59.22,60.95,56.1,31.24,30.61,31.63,25.19,43.25,12.56,35.12,22.72,27.21,19.95,39.6
"65","2017101504_3645",74.04,57.61,75.13,72.41,72.34,66.55,74.52,77.63,73.86,72.55,78.69,18.87,26.78,24.26,27.86,6.91,37.71,29.84,18.93,27.92,34.05,13.65
"66","2017101504_3224",53.36,51.3,54.81,49.79,54.75,45.22,53.38,51.59,53.34,53.46,55.49,12.82,24.64,14.95,22.68,9.32,32.81,24.89,12.96,19.47,34.53,10.37
"67","2017101504_297",72.91,70.84,64.28,72.56,69,60.97,69.93,73.72,73.25,73.09,68.73,41.88,26.47,15.56,28.07,32.83,28.2,19.87,36.33,37.87,47.4,23.45
"68","2017101504_2960",47.01,43.08,50.59,41.47,46.58,59.66,41.71,41.16,49.02,41.87,42.99,23.82,36.26,44.89,38.02,27.12,31.6,43.08,27.26,14.88,15.43,39.97
"69","2017101504_2436",45.5,47.17,50.33,43.85,48.24,58.75,45.45,43.81,46.6,43.45,46.23,14.61,26.53,37.35,24.43,19.03,26.61,34.15,16.65,5.54,8.11,32.24
"70","2017101504_1997",46.17,47.75,53.66,44.21,50.26,63.04,46.16,43.61,45.49,42.62,48.18,9.54,23.8,33.4,19.88,14.8,23.1,31.65,11.68,3.12,5.89,27.94
"71","2017101504_1583",74.62,77.83,59.83,77.1,73.39,70.47,76.75,79.37,75.36,77.13,76.9,29.91,26.4,33.31,37.46,18.19,43.77,40.62,27.09,33.66,43.05,22.06
"72","2017101504_1302",40.12,46.17,49.44,40.98,45.58,53.76,42.56,41.29,42.12,39.9,43.91,15.24,26.4,34.15,24.1,19.09,25.24,31.94,17.46,6.98,8.53,30.61
"73","2017101503_37",55.15,74.53,70.91,72.92,75.72,74.62,75.18,74.8,72.69,74.32,74.7,20.2,8.34,39.27,29.45,26.14,12.64,10.06,16.05,33.68,17.93,25.53
"74","2017101503_3490",62.56,46.32,47.7,48.74,44.14,46.85,46.55,45.43,47.72,47.08,43.81,27.81,41.69,7.62,18.61,9.99,15.01,39.53,32.42,35.87,29.14,22.28
"75","2017101503_3257",61.19,46.19,46.43,46.92,43.23,45.86,45.8,46.17,46.63,45.95,43.3,27.38,42.44,6.22,19.19,9.36,15.24,40.73,33.19,37.59,29.7,22.32
"76","2017101503_2788",52.3,65.99,62.35,63.95,66.84,65.65,65.67,64.82,62.81,64.9,66.88,23.21,7.7,42.82,31.67,23.97,13.1,11.65,15.83,36.45,18.33,27.56
"77","2017101503_2480",56.19,28.42,41.15,33.83,36.33,31.15,28.8,46.56,31.48,36.74,30.65,34.85,31,15.81,44.33,31.23,24.2,45,38.56,31.71,26.2,42.31
"78","2017101503_2091",58.56,73.6,67.47,69.53,70.95,72.57,64.33,72.51,68.08,72.18,73.28,23.89,22.2,42.06,11.22,29.8,34.97,22.27,22.82,5.77,14.98,38.34
"79","2017101503_1610",62.75,47.93,48.5,46.93,45.13,47.5,48.27,46.96,48.44,48.25,45.66,26.21,40.41,5.03,18.27,6.89,12.87,38.13,28.69,33.74,25.6,20.66
"80","2017101503_1266",64.02,83.66,76.14,77.67,79.84,80.59,69.31,80.46,77.97,81.8,81.4,28.87,32.4,17.17,39.43,25,18.75,35.31,33.12,43.65,35.45,16.81
"81","2017101503_1023",56.62,42.55,42.67,40.01,39.55,40.12,38.42,41.37,43.44,41.99,39.03,23.58,34.51,5.01,14.66,25.36,11.86,9.07,26.26,30.25,23.83,19.43
"82","2017101502_896",40.94,48.99,43.97,43.95,44.62,42.93,42.01,56.8,46.37,42.32,40.37,8.95,35.57,37.68,32.75,14.1,17.26,23.01,25.11,30.04,12.24,17.5
"83","2017101502_719",77.45,79.22,70.33,76.65,72.12,79.07,75.92,78.42,63.41,75.34,79.02,14.75,31.13,37.63,11.84,21.85,39.53,31.5,25.35,29.69,19.62,35.86
"84","2017101502_4156",40.94,59.38,55.69,44.06,53.63,48.78,62.41,60.46,48.05,45.07,57.67,27.52,8,9.64,40.51,6.99,30.9,5.48,5.25,22.1,30.56,6.77
"85","2017101502_2951",75.36,70.76,74.27,73.93,76.73,76.32,74.85,74.11,62.29,74.07,78.09,44.71,16.19,28.52,19.72,38.56,32.69,25.21,39.67,28.07,14.18,37.25
"86","2017101502_267",42.53,49.2,45.28,45.01,45.43,44.78,43.6,56.82,47.63,42.79,42.42,17.32,42.53,45.33,41.49,13.88,27.78,30.5,32.09,38.21,22.21,38.08
"87","2017101502_2581",74.54,52.35,52.45,54.03,57.34,55.53,55.02,57.69,51.3,54.83,55.14,26.41,39.35,22.41,24.2,38.17,29.54,12.61,21.37,35.56,34.82,16.91
"88","2017101502_2273",76.81,70.96,76.72,76.45,74.41,78.87,77.34,75.43,61.91,75.04,81.66,44.26,15.49,25.24,19.67,38.84,31.17,23.43,41.42,28.25,13.94,36.2
"89","2017101501_4369",41.21,43.58,41.9,47.77,60.61,43.85,42.74,44.81,43.15,41.99,41.88,20.18,15.46,11.57,38.9,25.12,23.03,34.65,27.72,7.34,29.8,16.42
"90","2017101501_4154",40.4,39.53,39.88,45.86,60.56,40.48,38.17,42.2,40.19,39.24,39.76,22.72,17.68,14.3,39.98,24.98,25.14,36.28,28.89,11.14,31.5,20.17
"91","2017101501_3984",41.92,49.37,40.57,61.1,40.35,51.69,49.42,43.93,43.17,44.27,43.02,38.55,24.93,46.14,30.51,41.59,24.91,33.92,19.85,48.25,44.95,30.16
"92","2017101501_37",44.29,47.06,61.1,44.76,46.05,46.5,43.8,45.94,50.81,47.6,46.7,24.3,13.94,24.28,17.43,29.41,21.81,8.71,36.06,25.38,17.22,32.49
"93","2017101501_3686",73.7,59.12,75.14,72.53,75.59,78.43,78.06,74.9,66.37,78.04,77.53,30.85,23.12,18.21,12.12,24.36,16.65,37.13,10.08,28.28,17.76,14.6
"94","2017101501_3317",37.17,37.77,34.37,44.93,57.3,38.16,37.6,39.79,36.34,39.89,37.51,38.55,42.1,45.52,19.8,32.62,31.44,21.42,28.57,47.67,27.04,36.22
"95","2017101501_2670",82.86,80.33,81.32,74.9,61.51,81.66,80.34,78.15,79.52,80.32,81.19,37.23,41.23,43.64,15.68,31.16,30.18,20.64,28.42,46.36,25.47,39.04
"96","2017101501_2631",44.79,59.47,40.66,42.78,41.62,41.23,43.44,49.78,42.89,46.77,44.37,12.72,21.93,19.77,29.69,17.38,6.91,36.36,31.03,26.94,14.66,33.01
"97","2017101501_2148",83.03,79.82,80.58,77.23,60.91,79.62,79.04,81.66,76.13,77.86,77.29,37.65,42.41,42.92,19.24,31.62,31.98,25.22,46.66,18.54,23.62,40.87
"98","2017101501_2095",37.12,39.31,38.42,43.63,57.87,39.04,39.77,39.77,38.6,40.58,39.58,19.85,14.74,12.12,38.01,23.91,22.91,33.7,28.4,8.38,30.01,17.29
"99","2017101501_1501",74.43,59.74,76.89,77.45,77.09,78.9,77.75,72.9,77.66,72.83,77.29,31.02,22.26,20.03,16.25,26.51,37.08,12.27,18.83,17.87,29.84,14.98
"100","2017101501_1086",71.87,58.36,76.82,76.81,75.28,77.65,75.1,70.34,76.48,70.09,74.87,33.38,22.3,20.63,16.81,25.55,37.02,9.47,15.31,18.63,33.74,13.82
"101","2017101500_742",67.56,79.3,68.38,70.07,77.01,79.52,80.32,77.81,81.3,80.63,80.55,18.43,11.87,41.16,7.81,31.48,19.03,23.43,26.35,15.49,7.46,36.16
"102","2017101500_336",67.06,79.13,68.27,72.13,74.04,79.35,80.2,76.97,78.44,80.41,78.7,18.1,11.72,42.13,10.03,31.37,16.87,20.82,24.9,12.67,8.49,33.05
"103","2017101500_3319",43.06,39.49,40.84,55.49,40.38,37.68,42.67,43.12,39.01,38.41,42.12,32.3,14,39.41,24.12,26.37,21.95,19.21,16.77,35.9,10.02,30.05
"104","2017101500_2975",38.81,37.66,38.95,52.71,40.44,37.13,41.09,40.46,35.93,37.52,40.67,33.71,16.19,38.97,25.29,28.18,21.86,21.1,18.7,34.29,13.57,29.94
"105","2017101500_2550",80.22,79.41,80.39,63.41,78.71,81.55,76.93,78.18,83.73,79.64,79.69,39.02,25.38,45.18,29.06,33.79,29.98,26.5,25.53,42.88,19.81,36.55
"106","2017101500_2254",69.64,80.29,79.71,64.31,82.01,81.46,76.35,77.35,79.05,78.97,78.17,22.79,30.42,46.44,32.7,41.62,36.5,29.25,27.09,33.13,23.48,40.07
"107","2017101500_1856",54.71,42.45,55.2,50.65,43.78,42.27,41.33,44.57,39.9,41.27,41.22,28.77,39.46,9.02,45,18.53,32.2,26.11,22.94,35.24,45.32,15.43
"108","2017101500_1324",55.32,42.49,53.74,50.63,43.14,41.37,41.28,44.21,40.77,43.43,41.47,30.4,42.41,9.3,44.4,19.9,33.35,27.96,24.84,38.59,45.07,16.68
"109","2017101200_35",56.81,40.77,36.74,39.84,39.25,38.05,37.41,44.12,38.29,37.64,38.52,25.95,10.38,22.8,33.43,25.21,12.69,18.16,40.48,22.36,42.61,30.15
"110","2017101200_3081",65.72,75.34,78.57,79.07,77.56,75.88,81.22,75.47,78.9,78.78,79.56,24.95,47.06,18.47,23.77,42.3,38.39,30.63,10.59,33.65,9.88,20.76
"111","2017101200_2729",47.54,38.54,48.95,41.57,39.4,42.03,43.7,38.19,55.38,39.98,39.81,41.46,19.8,17.9,20.95,33.55,17.37,25.87,30.77,32.84,40.58,36.14
"112","2017101200_2565",60.74,72.41,75.1,76.91,75.01,72.5,76.85,72.01,75.25,75.36,75.23,26.66,47.76,18.79,25.26,43.72,41.21,31.73,11.45,36.07,10.52,21.97
"113","2017101200_2352",46.31,39.77,48.16,40.62,40.34,43.39,42.42,37.81,55.17,39.08,39.09,43.39,26.2,19.09,22.75,34.56,16.83,27.82,30.34,32.91,42.13,38.69
"114","2017101200_2158",43.4,38.86,46.36,38.53,38.09,39.82,42.26,37.36,52.02,35.53,36.84,8.4,18.53,32.03,26.17,16,32.2,18.72,14.17,21.51,7.89,10.98
"115","2017101200_1737",45.75,39.99,48.25,42.66,39.3,44.5,43.95,38.12,55.96,39.26,38.33,46.64,28.83,20.02,26.31,38.23,20.03,31.42,33.54,34.71,45.39,41.39
"116","2017100900_853",56.94,57.27,60.58,45.59,59.33,59.47,59.09,59.38,58.06,61.25,62.15,10.91,42.31,29.83,23.77,18.89,13.26,15.55,37.76,33.64,21.14,24.48
"117","2017100900_4324",57.92,48.72,51.28,46.85,46.79,47.01,46.42,45.6,46.41,45.27,43.48,24.46,36.63,6.51,15.35,33.45,30.16,8.4,26.13,13.26,23.72,19.01
"118","2017100900_36",59.16,73.44,73.22,75.49,76.56,72.83,76.24,75.32,72.17,74.33,78.1,27.19,14.46,48.32,45.33,34.92,21.62,23.67,40.92,17.79,27.66,31.99
"119","2017100900_3410",73.8,70.2,57.86,75.11,71.06,73.08,75.15,72.45,70.23,71.38,72.76,30.41,20.76,30.61,37.96,23.73,36.31,45.4,16.96,27.31,38.39,41.34
"120","2017100900_3028",57.9,71.78,71.4,75.17,75.7,74.44,74.56,74.04,71.58,74.31,76.55,27.39,15.6,46.48,35.78,23,38.56,42.22,23.51,18.94,27.88,33.55
"121","2017100900_2851",39.82,61.17,40.33,43.19,44.86,42.92,43.21,43.56,44.91,47.12,45.26,31.32,31.69,29.22,33.78,39.77,31,14.23,42.93,36.68,20.95,20.93
"122","2017100900_2595",58.89,73.48,73.28,76.95,72.43,76.23,75.55,75.74,73.11,74.46,77.72,27.79,14.97,47.91,36.33,23.89,21.77,40.27,43.67,19.19,27.67,32.46
"123","2017100900_2224",42.55,45.98,61.25,42.43,44.81,45.53,44.2,43.47,45.65,47.47,46.69,29.66,21.13,29.48,24.2,33.08,37.38,27.46,12.78,43.2,41.7,15.83
"124","2017100900_1889",57.25,40.46,41.61,37.27,41,36.56,39.1,38.28,37.71,38.2,34.83,26.75,33.45,7.66,16.35,26.43,30.92,28.88,9.81,13.35,26.61,21.91
"125","2017100811_3905",71.35,66.78,65.57,66.39,67.14,64.24,69.05,65.7,65.37,70.37,63.52,25.05,32.57,21.97,51.87,43.79,44.36,26.04,51.62,43.31,30.08,52.94
"126","2017100811_37",81.92,71.8,73.95,79.47,77.08,79.72,80.08,66.74,77.76,79,82.16,17.97,29.01,6.62,33.25,7.52,23.61,15.93,20.07,10.23,26.96,20.23
"127","2017100811_3467",73.2,77.92,68.74,73.62,75.38,79.28,79,75.81,75.75,76.33,62.4,23.76,21.6,44.12,15.38,32.03,42.36,13.92,40.07,32.89,24.38,28
"128","2017100811_3132",49.16,45.9,41.96,37.94,42.68,41.7,39.29,56.08,43.74,41.84,37.26,23.18,44.8,34.63,18.57,40.78,31.32,39.07,32.44,26.51,22.94,45.98
"129","2017100811_2163",44.18,43.52,38.64,44.68,44.61,37.08,36.84,38.64,40.12,39.4,56.73,32.03,29.05,32.87,12.71,37.8,27.53,11.25,39.62,15.87,24.31,27.49
"130","2017100811_1308",79.33,81.59,84.72,78.75,83.44,85.44,87.29,88.14,83.86,82.54,64.58,21.09,22.76,19.26,38.66,11.06,28.07,39.79,14.18,35.28,30.73,25.16
"131","2017100810_370",67.89,80.88,81.77,83.02,74.64,78.77,69.95,80.02,80.95,80.83,79.81,28.97,30.49,23.88,33.76,15.03,19.74,41.43,36.5,39.5,14.4,27.16
"132","2017100810_3680",65.83,73.26,72.41,74.12,66.74,70.17,63.6,72.64,73.92,72.59,71.8,25.77,29.86,33.15,20.87,10.57,16.67,41.74,38.27,43.09,12.25,24.1
"133","2017100810_3113",72.12,56.65,59.95,57.64,57.69,59.93,59.23,57.08,59.23,56.87,55.68,30.42,26.53,17.08,35.99,23.82,41,15.4,22.16,46.9,39.94,33.32
"134","2017100810_2889",63.06,76.16,76.82,77.43,80.25,72.83,64.61,77.52,78.33,73.93,77,17.82,20.13,17.93,23.52,7.71,25.65,34.74,33.1,12.48,5.19,35.41
"135","2017100810_2684",63.54,45.68,49.55,48.93,47.75,50.22,51.11,47.61,50.84,47.51,45.56,31.77,24.6,16.39,36.85,22.81,41.31,13.57,21.08,47.14,39.32,32.54
"136","2017100810_2060",57.52,72.5,68.64,69.98,69.46,69.39,67.51,68.8,67.44,70.58,71.9,22.79,28.06,39.25,17.26,29.38,30.2,39.76,32.43,5.96,13.1,20.53
"137","2017100810_1815",54.73,41.25,41.95,39.65,48.14,44.21,51.88,40.47,39.51,43.56,42.26,22.25,24.01,19.91,29.05,41.37,35.22,14.09,16.53,12.37,39.05,27.95
"138","2017100810_1643",58.86,76.9,74.24,73.32,71.5,71.94,72.46,72.51,72.39,74.19,75.63,23.73,26.91,34.22,16.47,31.04,15.55,37.72,33.67,6.73,12.25,21.14
